"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.828249292E0,-4.948617378E-3,-2.972971117E-3,-1.010983586E-3
1.838235292E0,1.704865359E-2,-1.138354216E-2,-7.149390578E-3
1.848221292E0,9.765855130E-3,-3.915834641E-3,-1.792639375E-2
1.858207292E0,1.927945772E-3,7.896189652E-3,-1.011568308E-3
1.868193292E0,-2.195081301E-3,-1.197544483E-2,-4.304720163E-3
1.878180292E0,-5.948226303E-3,8.781531192E-3,-2.735619843E-2
1.888166292E0,8.931612773E-3,-3.622414051E-3,9.466057420E-3
1.898152292E0,-8.013590779E-3,-1.508179642E-3,-2.720826387E-2
1.908138292E0,9.006776903E-3,-6.101752259E-3,-2.107161105E-2
1.918124292E0,5.041917013E-3,-1.381685182E-2,-1.867659152E-2
1.928110292E0,-1.810508100E-3,-1.462878339E-2,-1.598102510E-2
1.938096292E0,-2.388587594E-3,-1.332602374E-2,-1.523199677E-2
1.948082292E0,-2.703423612E-3,3.312703483E-3,-2.481265962E-2
1.958068292E0,1.752885617E-3,-2.513242923E-3,-1.448472261E-2
1.968054292E0,-2.873266954E-3,-1.939430069E-3,-9.993476272E-3
1.978040292E0,-4.265023051E-3,-2.190650208E-3,-1.942328095E-2
1.988026292E0,4.393917611E-3,7.091101147E-3,-8.346900344E-3
1.998012292E0,5.420917086E-4,-1.791212289E-3,-1.253701508E-2
2.007999292E0,-1.800394244E-3,-8.760134038E-4,-2.406304657E-2
2.017985292E0,1.889107469E-4,-2.633951381E-3,-2.807248235E-3
2.027971292E0,2.306470759E-3,-1.258058597E-2,-2.960094452E-2
2.037957292E0,6.357732397E-3,-1.393373217E-4,-1.508113861E-2
2.047943292E0,-1.784652444E-3,-7.939660046E-3,-8.343976736E-3
2.057929292E0,-6.980159367E-3,-4.669531602E-3,-3.633518279E-2
2.067915292E0,-6.471780511E-3,-1.372015349E-2,3.931667805E-3
2.077901292E0,-5.704470500E-3,-1.205223522E-2,-3.319113493E-2
2.087887292E0,6.746526556E-3,8.374062488E-3,-1.433035612E-2
2.097873292E0,-3.897214914E-3,-6.961841136E-5,-1.457126141E-3
2.107859292E0,-1.046487149E-2,-1.392130684E-3,-3.079611540E-2
2.117845292E0,7.667545248E-3,7.926184041E-3,-1.867132902E-2
2.127831292E0,-2.066899370E-3,-6.944683213E-3,-2.510852873E-2
2.137817292E0,-1.092835469E-3,3.643153394E-3,1.836025715E-3
2.147804292E0,7.413922269E-3,8.760545170E-3,-1.343280852E-2
2.157790292E0,-2.751855003E-3,-2.476387192E-3,-3.558615446E-2
2.167776292E0,5.222385842E-4,-3.954554172E-3,-1.597751677E-2
2.177762292E0,9.465125520E-3,-1.108504180E-4,-1.313343108E-2
2.187748292E0,8.361180341E-3,-3.342003515E-3,-1.238440275E-2
2.197734292E0,1.251716196E-2,-1.003371242E-2,-7.444090247E-3
2.207720292E0,9.317994956E-4,-4.367367597E-3,-1.432918668E-2
2.217706292E0,2.773407474E-3,-4.699699581E-5,-1.911864102E-2
2.227692292E0,1.622392209E-3,3.979002843E-3,-2.360871792E-2
2.237678292E0,3.888425818E-3,-4.630026352E-3,-9.388874173E-3
2.247664292E0,7.940765535E-3,-2.203176040E-3,-1.507704556E-2
2.257650292E0,9.319018219E-3,-1.582625661E-2,-1.851988614E-2
2.267636292E0,5.361476485E-3,-1.813331209E-3,-2.226210415E-2
2.277622292E0,1.764781047E-3,-7.711728271E-3,-2.735093594E-2
2.287609292E0,2.872801004E-3,-1.130716290E-2,-2.241062343E-2
2.297595292E0,5.708901593E-3,-7.673739642E-4,-1.896719813E-2
2.307581292E0,-1.510461884E-2,1.545309462E-3,-1.881692469E-2
2.317567292E0,4.918093085E-3,2.603335725E-3,-1.252999842E-2
2.327553292E0,6.544532664E-3,-1.883924461E-2,-1.956536829E-2
2.337539292E0,-9.368244465E-3,-7.314300332E-3,-1.178213954E-2
2.347525292E0,1.833924372E-4,-7.101498228E-3,1.411342442E-2
2.357511292E0,6.465933295E-3,-9.032778740E-3,-2.854786098E-2
2.367497292E0,4.175231745E-3,-9.157159980E-3,-1.447770596E-2
