"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.658486292E0,-7.200027466E-2,7.918533325E-2,9.790091400E0
1.668472292E0,-7.903564453E-2,6.810836792E-2,9.786498871E0
1.678458292E0,-7.304809570E-2,7.978408813E-2,9.779912567E0
1.688444292E0,-6.795867920E-2,7.274871826E-2,9.793683929E0
1.698430292E0,-6.735992432E-2,7.259902954E-2,9.787546692E0
1.708416292E0,-8.846603394E-2,8.038284302E-2,9.805060272E0
1.718402292E0,-8.173004150E-2,7.499404907E-2,9.788594513E0
1.728388292E0,-7.694000244E-2,7.200027466E-2,9.777816925E0
1.738374292E0,-7.035369873E-2,7.334747314E-2,9.794731750E0
1.748361292E0,-7.050338745E-2,7.544311523E-2,9.793085175E0
1.758347292E0,-7.798782349E-2,8.337661743E-2,9.805509338E0
1.768333292E0,-6.062393188E-2,7.858657837E-2,9.787097626E0
1.778319292E0,-7.244934082E-2,8.532257080E-2,9.801916809E0
1.788305292E0,-7.634124756E-2,7.664062500E-2,9.810598755E0
1.798291292E0,-8.128097534E-2,7.649093628E-2,9.795031128E0
1.808277292E0,-7.289840698E-2,8.098159790E-2,9.799970856E0
1.818263292E0,-7.694000244E-2,7.738906860E-2,9.791887665E0
1.828249292E0,-8.173004150E-2,7.813751221E-2,9.808353424E0
1.838235292E0,-5.972579956E-2,6.960525513E-2,9.802216187E0
1.848221292E0,-6.706054688E-2,7.708969116E-2,9.791438599E0
1.858207292E0,-7.484436035E-2,8.891510010E-2,9.808353424E0
1.868193292E0,-7.903564453E-2,6.900650024E-2,9.805060272E0
1.878180292E0,-8.277786255E-2,8.981323242E-2,9.782008209E0
1.888166292E0,-6.780899048E-2,7.738906860E-2,9.818831635E0
1.898152292E0,-8.472381592E-2,7.948471069E-2,9.782157898E0
1.908138292E0,-6.765930176E-2,7.484436035E-2,9.788295135E0
1.918124292E0,-7.170089722E-2,6.706054688E-2,9.790690155E0
1.928110292E0,-7.858657837E-2,6.631210327E-2,9.793384552E0
1.938096292E0,-7.918533325E-2,6.765930176E-2,9.794132996E0
1.948082292E0,-7.948471069E-2,8.427474976E-2,9.784552917E0
1.958068292E0,-7.499404907E-2,7.843688965E-2,9.794881439E0
