"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.199126292E0,7.250800263E-5,1.493189484E-5,-2.478954848E-4
1.209112292E0,2.067965688E-4,2.098586410E-4,5.228209775E-4
1.219099292E0,-9.799079271E-4,5.646049976E-5,1.093536383E-3
1.229085292E0,-2.740404452E-4,1.491733361E-3,4.008653341E-4
1.239071292E0,-3.613921581E-4,-9.285474662E-4,7.345593767E-4
1.249057292E0,-2.968518529E-4,8.974969387E-4,1.095051761E-3
1.259043292E0,1.447170507E-5,-4.313187674E-5,5.419133231E-4
1.269029292E0,-4.502158845E-4,5.045672879E-5,-6.907527568E-4
1.279015292E0,-4.299758584E-4,-5.077417009E-4,2.127670683E-3
1.289001292E0,-1.074813772E-3,9.366120212E-4,3.062763426E-4
1.298987292E0,-1.171411132E-4,1.040209085E-3,1.025862526E-3
1.308973292E0,1.231428934E-3,-3.301119432E-5,-2.900799736E-4
1.318959292E0,-8.061555563E-4,-9.334257338E-4,-8.480121614E-4
1.328945292E0,-6.180508062E-4,-2.414132468E-4,-1.244483283E-3
1.338931292E0,2.908860333E-4,1.870892011E-4,7.885738742E-4
1.348918292E0,1.990795601E-3,-9.822295979E-4,1.265379251E-5
1.358904292E0,1.462901710E-4,2.305740491E-4,-4.773678374E-4
1.368890292E0,-5.994035164E-4,1.052077860E-4,-1.457514009E-3
1.378876292E0,-3.924759221E-4,-8.969397750E-4,5.161546869E-4
1.388862292E0,-2.099306439E-4,3.756601363E-4,-6.497330032E-4
1.398848292E0,5.634513218E-4,5.048792809E-5,6.999571342E-4
1.408834292E0,-7.141921087E-4,-2.584033646E-4,-8.970050258E-4
1.418820292E0,-2.244368079E-4,2.841930836E-5,1.511025243E-3
1.428806292E0,-1.763485139E-3,-1.002818346E-3,9.167394601E-4
1.438792292E0,-5.791774602E-4,-1.223328058E-3,4.261852591E-4
1.448778292E0,1.158226514E-3,6.429692730E-4,6.280640955E-4
1.458764292E0,-2.460582764E-4,-3.445306793E-4,1.006232807E-3
1.468750292E0,4.663254367E-4,4.877969623E-4,-1.269156579E-3
1.478737292E0,-7.171832840E-4,-9.604301304E-4,1.192935859E-3
1.488723292E0,1.639779890E-3,-2.097045071E-4,5.492024356E-4
1.498709292E0,-2.806255361E-4,3.024656326E-5,-8.963614237E-4
1.508695292E0,-5.323964288E-4,-6.916658022E-4,3.067362704E-4
1.518681292E0,9.930622764E-4,-1.658659428E-3,-4.189751344E-4
1.528667292E0,6.033894024E-4,1.733838581E-4,2.878311789E-4
1.538653292E0,1.453257282E-4,-4.133102484E-4,4.311092198E-4
1.548639292E0,2.007671283E-4,-3.505549394E-4,-7.282737060E-4
1.558625292E0,-1.017629169E-3,2.987235785E-4,-1.519656216E-4
1.568611292E0,3.371082130E-4,-1.774793491E-4,-4.057544866E-4
1.578597292E0,-1.249502529E-4,4.784571938E-4,1.090143109E-3
1.588583292E0,2.100449638E-4,-3.189127892E-5,-1.729790820E-4
1.598569292E0,1.083561918E-3,5.492800847E-5,-1.009744243E-3
1.608556292E0,1.069406047E-3,2.342462540E-5,-1.252506627E-3
1.618542292E0,6.768560270E-4,4.391442053E-4,3.579068580E-4
1.628528292E0,-1.381856273E-4,-5.846791901E-4,1.312606619E-4
1.638514292E0,7.393260021E-4,1.610056497E-4,-3.840610152E-4
1.648500292E0,-7.415120490E-4,3.295410424E-4,-1.541772508E-3
1.658486292E0,-7.194078062E-4,3.242148086E-4,2.377516939E-4
1.668472292E0,-5.848441506E-4,5.154414102E-4,-2.474057837E-4
1.678458292E0,-1.325735473E-3,-3.290469758E-4,-8.716507582E-4
1.688444292E0,2.220023656E-3,1.109043136E-3,1.124498900E-3
1.698430292E0,-1.415990293E-3,-4.651513882E-4,1.460323576E-3
1.708416292E0,-2.381259110E-4,2.924804576E-4,9.322757833E-4
1.718402292E0,6.111561088E-4,-7.967525162E-4,8.792788722E-4
1.728388292E0,-1.303136698E-3,-5.042809062E-4,-3.527192166E-4
1.738374292E0,-8.205719641E-4,1.139688306E-3,5.093459622E-4
1.748361292E0,-5.783868255E-4,-4.581683315E-4,3.536504228E-4
1.758347292E0,-6.333144847E-5,1.023348421E-3,-4.058831255E-4
1.768333292E0,1.071274164E-4,7.266281173E-4,-9.661040967E-4
1.778319292E0,-7.067346014E-4,1.512792893E-3,2.112967195E-5
1.788305292E0,-2.624890185E-4,3.738026135E-4,1.061125775E-3
1.798291292E0,-2.811311861E-4,9.876610711E-4,2.432689653E-4
1.808277292E0,-3.162402427E-4,-2.933014184E-4,9.076001588E-4
1.818263292E0,-8.336924366E-4,4.920647480E-4,-1.062652445E-4
1.828249292E0,-1.516410848E-3,1.749349758E-5,-9.888738859E-4
1.838235292E0,-9.430322680E-4,-6.333831698E-4,6.899827858E-4
1.848221292E0,3.595412127E-4,1.289614476E-3,-1.004580292E-3
1.858207292E0,-1.741692889E-3,-4.566200078E-4,1.742736553E-3
1.868193292E0,7.610928151E-4,4.183873534E-4,-9.290282615E-4
1.878180292E0,2.366356784E-5,-5.589928478E-4,-7.878807373E-4
1.888166292E0,-4.663167929E-4,-6.234433968E-4,-2.031217446E-4
1.898152292E0,4.474137677E-4,-1.308142208E-3,-1.250911155E-4
1.908138292E0,-4.409527173E-5,9.250123985E-4,-1.223737607E-3
1.918124292E0,-2.651842078E-5,3.297957592E-4,-4.911018768E-4
1.928110292E0,1.255475683E-3,1.127487049E-3,-3.053336404E-4
1.938096292E0,-4.361424362E-5,-5.745391827E-4,3.288779408E-5
1.948082292E0,4.726812476E-4,-7.374985144E-4,-1.145144692E-3
1.958068292E0,1.105181989E-3,1.743678004E-4,-5.685702781E-4
1.968054292E0,4.451622372E-4,1.860709395E-3,-8.831693558E-4
1.978040292E0,-1.758869621E-4,4.335213453E-4,-4.192467022E-4
1.988026292E0,1.796542434E-3,2.687056549E-4,1.846600557E-3
1.998012292E0,-4.913793528E-4,-1.385575160E-5,-5.848655128E-4
2.007999292E0,-2.547646291E-4,3.410247155E-4,5.901039112E-4
2.017985292E0,6.616291357E-4,1.502961852E-3,1.065744553E-3
2.027971292E0,-7.115071639E-5,3.462824970E-4,-1.223685569E-3
2.037957292E0,4.496308975E-5,1.223261468E-3,-7.600291865E-4
2.047943292E0,-1.004671212E-4,5.799485371E-5,2.702116035E-5
2.057929292E0,2.510701888E-4,4.156576470E-4,3.021256998E-4
2.067915292E0,8.649029187E-4,8.054915816E-4,-5.144608440E-4
2.077901292E0,-1.449384028E-3,-2.118358389E-4,5.430803867E-4
2.087887292E0,1.126764226E-3,-1.466120593E-4,-1.154606813E-3
2.097873292E0,1.158282976E-4,9.498111904E-4,5.317067844E-4
2.107859292E0,-9.128323290E-5,6.379564293E-4,-4.106765846E-5
2.117845292E0,-5.799732753E-4,3.175782040E-4,1.187219750E-4
2.127831292E0,-7.623457350E-6,-3.543994389E-4,-1.884046826E-3
2.137817292E0,-1.040130970E-3,9.674020112E-5,-1.351148239E-3
2.147804292E0,5.170578370E-4,-7.306810003E-4,-1.190121984E-3
2.157790292E0,1.409749384E-3,3.580190241E-4,5.246874061E-4
2.167776292E0,-1.330995467E-3,-5.220021121E-4,6.267462159E-4
2.177762292E0,2.017396968E-3,-2.591479570E-4,-1.831085188E-3
2.187748292E0,1.228626119E-3,-4.867748357E-4,4.815036664E-5
2.197734292E0,-2.196008572E-4,7.619815879E-4,8.859807858E-4
2.207720292E0,1.252403599E-3,4.029213451E-4,-6.674812175E-4
2.217706292E0,-1.335054403E-4,1.217848621E-3,-1.308237668E-3
2.227692292E0,-1.031049993E-3,5.308194086E-4,-6.377989193E-4
2.237678292E0,-2.877616789E-4,-2.052783966E-4,-2.066331508E-4
2.247664292E0,-6.855956162E-4,3.746938892E-4,-2.320818021E-4
2.257650292E0,1.442453940E-4,-1.776455902E-4,5.644697230E-4
2.267636292E0,-3.568136308E-4,-1.174903708E-3,6.287108408E-4
2.277622292E0,8.754309383E-4,8.352501318E-4,-5.574610550E-4
2.287609292E0,7.741028094E-4,6.602429785E-4,-2.149574866E-4
2.297595292E0,8.326923125E-4,2.077720128E-4,1.007964602E-5
2.307581292E0,4.719918943E-4,-9.974061977E-4,-2.925563022E-4
2.317567292E0,9.861675790E-5,1.003486104E-4,-9.618086624E-4
2.327553292E0,-1.547262655E-4,4.191556945E-5,-1.841278281E-3
2.337539292E0,-7.696501561E-4,-1.212699572E-3,-2.497732057E-4
2.347525292E0,2.744782250E-6,1.886705868E-4,1.947377808E-3
2.357511292E0,-3.282861435E-4,-1.217212295E-3,-2.697037125E-4
2.367497292E0,-5.466308794E-4,4.155174829E-4,-6.156795425E-4
2.377483292E0,8.557898109E-4,3.127194941E-4,-3.424392489E-4
2.387469292E0,-7.534963661E-4,-1.741680317E-4,-5.435308558E-4
2.397455292E0,-3.372443025E-4,-9.470172226E-4,2.532033250E-5
2.407441292E0,-8.697930025E-4,-1.735053957E-5,-6.022112793E-4
2.417427292E0,-3.862043377E-5,-3.710184246E-4,-3.641246585E-4
2.427414292E0,-7.824925706E-5,-8.134741802E-4,-9.980187751E-4
2.437400292E0,1.335622859E-3,4.376787692E-4,-8.613985847E-4
2.447386292E0,1.096637920E-3,-1.747948118E-4,-1.044754754E-3
2.457372292E0,-3.156363673E-4,-2.898434177E-4,-7.784386398E-4
2.467358292E0,-1.577353687E-4,-2.934224904E-5,-1.785506029E-4
2.477344292E0,2.923387801E-4,-7.973976899E-4,-4.981299280E-4
2.487330292E0,9.687502752E-4,2.238801681E-4,-1.447596122E-3
2.497316292E0,-8.645697962E-4,-1.264826860E-3,-1.106445212E-3
2.507302292E0,4.184132558E-4,-2.389028668E-4,-4.278277338E-4
2.517288292E0,1.089796191E-3,9.941407479E-4,1.420887420E-4
2.527274292E0,1.183802960E-3,-4.224386066E-5,-1.215622062E-3
2.537260292E0,-4.082346277E-4,-6.541330367E-5,-1.107231365E-3
2.547246292E0,5.212100223E-4,-6.624171510E-5,6.111679249E-4
2.557232292E0,3.315929789E-4,2.075312659E-4,5.634973641E-4
2.567219292E0,7.047300460E-4,-7.270835340E-6,-7.792014512E-4
2.577205292E0,-6.031483645E-4,1.812810078E-4,-1.335003180E-3
2.587191292E0,-2.365188557E-4,-5.110530183E-4,-3.885037149E-4
2.597177292E0,4.319346044E-4,-1.102541108E-3,-1.094044419E-4
2.607163292E0,3.275510389E-4,1.068432815E-3,3.650370054E-4
2.617149292E0,1.408528071E-3,-4.258668050E-4,3.376064124E-4
2.627135292E0,5.623929901E-4,-4.350063391E-4,-2.614281257E-4
2.637121292E0,4.585296847E-4,-1.152728451E-3,-2.216987312E-3
2.647107292E0,9.515789570E-4,6.198473275E-4,-1.196588855E-3
2.657093292E0,8.309377590E-4,7.295692340E-4,3.299250966E-5
2.667079292E0,1.432292629E-3,6.786533631E-4,-1.851169858E-3
2.677065292E0,-5.934404908E-5,1.019984484E-5,-9.409013437E-4
2.687051292E0,-1.121020527E-3,-7.519498467E-6,-4.476069880E-4
2.697037292E0,-2.075562952E-4,1.256386749E-4,-1.956719498E-4
2.707024292E0,-6.705911364E-4,-2.470849780E-3,-1.307886094E-3
2.717010292E0,1.038561459E-4,1.121503301E-4,-1.845647930E-4
2.726996292E0,7.301104488E-4,4.955749027E-4,2.154471586E-4
2.736982292E0,6.715208292E-4,-8.605932817E-5,4.210431362E-4
2.746968292E0,-3.452393576E-4,-8.640820161E-4,-8.229535306E-4
2.756954292E0,-1.510949223E-4,8.549885824E-4,-1.184877125E-3
2.766940292E0,8.795965696E-4,-7.588043809E-5,-1.063575619E-4
2.776926292E0,-3.646322875E-4,-1.223105937E-5,3.282703110E-4
2.786912292E0,1.387118828E-4,1.015603077E-3,-3.250349255E-4
2.796898292E0,8.977127727E-4,-1.175645739E-3,-7.460807101E-4
2.806884292E0,1.164805959E-3,2.437932417E-4,-3.919373557E-4
2.816869917E0,-1.910092542E-4,-5.439696833E-4,7.484282251E-4
2.826855917E0,-1.330485684E-3,-8.889520541E-5,-1.516941004E-3
2.836841917E0,1.459707855E-4,1.339624170E-3,1.207739115E-3
2.846827917E0,3.065887140E-4,-5.795788020E-4,-3.673418541E-4
2.856814917E0,3.899456933E-4,6.824932061E-4,1.038540853E-3
2.866800917E0,5.752729485E-4,6.463718601E-4,-4.285310279E-4
2.876786917E0,-1.048190054E-3,8.088247851E-4,3.368614707E-4
2.886772917E0,1.114990679E-3,1.546870917E-3,-6.326462026E-4
2.896758917E0,-2.133940579E-4,-7.959117647E-4,-1.346350764E-4
2.906744917E0,-2.914613578E-4,4.047271796E-4,4.009749391E-4
2.916730917E0,1.705971081E-4,-5.055409856E-4,4.081654479E-4
