"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.279015292E0,-7.750290658E-2,8.178462161E-2,9.809352713E0
1.289001292E0,-7.742588779E-2,8.175725847E-2,9.809353883E0
1.298987292E0,-7.743828571E-2,8.169287514E-2,9.809354467E0
1.308973292E0,-7.753464600E-2,8.173334884E-2,9.809353298E0
1.318959292E0,-7.748479849E-2,8.173618108E-2,9.809353298E0
1.328945292E0,-7.745097600E-2,8.165482256E-2,9.809354467E0
1.338931292E0,-7.738281026E-2,8.168235015E-2,9.809354467E0
1.348918292E0,-7.737033010E-2,8.170743836E-2,9.809354467E0
1.358904292E0,-7.732434724E-2,8.179069723E-2,9.809354467E0
1.368890292E0,-7.731923092E-2,8.174874346E-2,9.809354467E0
1.378876292E0,-7.729430716E-2,8.166699207E-2,9.809355637E0
1.388862292E0,-7.723917888E-2,8.165524282E-2,9.809356222E0
1.398848292E0,-7.723198864E-2,8.155971394E-2,9.809356806E0
1.408834292E0,-7.718936792E-2,8.157081451E-2,9.809357391E0
1.418820292E0,-7.712260916E-2,8.157586687E-2,9.809357391E0
1.428806292E0,-7.710560655E-2,8.152179840E-2,9.809357976E0
1.438792292E0,-7.702283191E-2,8.141659420E-2,9.809359730E0
1.448778292E0,-7.693939031E-2,8.142077861E-2,9.809360315E0
1.458764292E0,-7.688389658E-2,8.137513379E-2,9.809360899E0
1.468750292E0,-7.678233775E-2,8.136251659E-2,9.809362069E0
1.478737292E0,-7.676020970E-2,8.133725479E-2,9.809362653E0
1.488723292E0,-7.670853493E-2,8.138896611E-2,9.809362653E0
1.498709292E0,-7.672276011E-2,8.142404940E-2,9.809362069E0
1.508695292E0,-7.672515381E-2,8.145043496E-2,9.809362069E0
1.518681292E0,-7.663828611E-2,8.148256724E-2,9.809362069E0
1.528667292E0,-7.656030344E-2,8.152469460E-2,9.809362653E0
1.538653292E0,-7.654734821E-2,8.156726964E-2,9.809362069E0
1.548639292E0,-7.659035722E-2,8.155948553E-2,9.809362069E0
1.558625292E0,-7.659166371E-2,8.152357084E-2,9.809362069E0
1.568611292E0,-7.660109234E-2,8.156041743E-2,9.809362069E0
1.578597292E0,-7.662895341E-2,8.158667509E-2,9.809361484E0
1.588583292E0,-7.669262867E-2,8.158054464E-2,9.809360899E0
1.598569292E0,-7.664658185E-2,8.162766955E-2,9.809360899E0
1.608556292E0,-7.662528976E-2,8.167607353E-2,9.809360899E0
1.618542292E0,-7.659731906E-2,8.168023967E-2,9.809360899E0
1.628528292E0,-7.660730958E-2,8.164652682E-2,9.809360899E0
1.638514292E0,-7.651627574E-2,8.165742639E-2,9.809361484E0
1.648500292E0,-7.655577642E-2,8.164347530E-2,9.809361484E0
1.658486292E0,-7.654200349E-2,8.167652121E-2,9.809361484E0
1.668472292E0,-7.657668478E-2,8.164778762E-2,9.809361484E0
1.678458292E0,-7.658571142E-2,8.155374795E-2,9.809362069E0
1.688444292E0,-7.662471418E-2,8.155276123E-2,9.809361484E0
1.698430292E0,-7.662766063E-2,8.151358489E-2,9.809362069E0
1.708416292E0,-7.656976862E-2,8.149847349E-2,9.809362653E0
1.718402292E0,-7.655250106E-2,8.153946796E-2,9.809362653E0
1.728388292E0,-7.651691528E-2,8.151319203E-2,9.809362653E0
